id,Color
1,4
2,2
3,2
4,4
5,6
6,4
7,3
8,4
9,4
10,3
11,3
12,3
13,2
14,2
15,3
16,2
17,4
18,2
19,2
20,2
21,3
22,5
23,3
24,2
25,2
26,2
27,1
28,2
29,3
30,2
31,3
32,1
33,2
34,2
35,1
36,1
37,4
38,2
39,1
40,4
41,3
42,3
43,3
44,2
45,4
46,2
47,4
48,3
49,1
50,5
51,5
52,4
53,3
54,4
55,1
56,3
57,1
58,6
59,2
60,3
61,3
62,5
63,3
64,6
65,2
66,5
67,4
68,5
69,5
70,2
71,6
72,4
73,5
74,1
75,4
76,4
77,5
78,3
79,3
80,4
81,2
82,4
83,5
84,4
85,3
86,3
87,2
88,3
89,2
90,2
91,3
92,2
93,2
94,2
95,3
96,4
97,2
98,3
99,3
100,2
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
